key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
CSP-S|reading_program|hard|ALG,97,"sorting_trace:24, dp_state_transition:16, generic_concept:16, complexity_bound_reasoning:9, final_scalar_value:9, loop_iteration_count:8, stack_state_trace:6, binary_search_boundary:3, priority_queue_order:3, bfs_adjacency_queue:1","inferred-sorting_trace:24, inferred-dp_state_transition:16, inferred-generic_concept:16, inferred-complexity_bound_reasoning:9, inferred-final_scalar_value:9, inferred-loop_iteration_count:8, inferred-stack_state_trace:6, inferred-binary_search_boundary:3, inferred-priority_queue_order:3, inferred-bfs_adjacency_queue:1",program_trace:97,"vector:86, queue:6, stack:6, graph:3, priority_queue:3, set:1, tree:1"
GESP-8|single_choice|easy|DS,95,"generic_concept:39, stack_state_trace:25, queue_state_trace:18, priority_queue_order:5, sorting_trace:3, loop_iteration_count:2, binary_search_boundary:1, complexity_bound_reasoning:1, set_order_unique:1","inferred-generic_concept:39, inferred-stack_state_trace:25, inferred-queue_state_trace:18, inferred-priority_queue_order:5, inferred-sorting_trace:3, inferred-loop_iteration_count:2, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1, inferred-set_order_unique:1","short_trace:61, loop_count:12, final_value:11, concept_choice:10, complexity:1","stack:26, tree:26, queue:23, vector:16, priority_queue:8, graph:2, deque:1, set:1, union_find:1"
CSP-S|single_choice|hard|CPP,91,"generic_concept:83, final_scalar_value:6, complexity_bound_reasoning:2","inferred-generic_concept:83, inferred-final_scalar_value:6, inferred-complexity_bound_reasoning:2","final_value:56, short_trace:25, concept_choice:8, complexity:2","vector:7, graph:1"
GESP-7|single_choice|easy|CPP,90,"generic_concept:45, final_scalar_value:21, sorting_trace:21, loop_iteration_count:2, prefix_sum_query:1","inferred-generic_concept:45, inferred-final_scalar_value:21, inferred-sorting_trace:21, inferred-loop_iteration_count:2, inferred-prefix_sum_query:1","final_value:43, short_trace:43, concept_choice:2, loop_count:2",vector:27
GESP-8|reading_program|medium|ALG,89,"generic_concept:17, sorting_trace:14, complexity_bound_reasoning:13, final_scalar_value:13, loop_iteration_count:10, dp_state_transition:9, stack_state_trace:7, prefix_sum_query:3, binary_search_boundary:1, difference_array_update:1","inferred-generic_concept:17, inferred-sorting_trace:14, inferred-complexity_bound_reasoning:13, inferred-final_scalar_value:13, inferred-loop_iteration_count:10, inferred-dp_state_transition:9, inferred-stack_state_trace:7, inferred-prefix_sum_query:3, inferred-binary_search_boundary:1, inferred-difference_array_update:1",program_trace:89,"vector:58, stack:7, graph:1, priority_queue:1, queue:1"
GESP-1|single_choice|easy|CS,88,generic_concept:88,inferred-generic_concept:88,"short_trace:51, final_value:22, concept_choice:15","vector:3, graph:2"
GESP-7|single_choice|hard|MATH,87,"generic_concept:54, final_scalar_value:23, sorting_trace:4, loop_iteration_count:2, stack_state_trace:2, complexity_bound_reasoning:1, prefix_sum_query:1","inferred-generic_concept:54, inferred-final_scalar_value:23, inferred-sorting_trace:4, inferred-loop_iteration_count:2, inferred-stack_state_trace:2, inferred-complexity_bound_reasoning:1, inferred-prefix_sum_query:1","final_value:45, short_trace:39, loop_count:2, complexity:1","vector:4, graph:3, stack:2, tree:2"
CSP-J|single_choice|easy|DS,80,"generic_concept:35, stack_state_trace:26, queue_state_trace:8, sorting_trace:4, bfs_adjacency_queue:3, complexity_bound_reasoning:2, binary_search_boundary:1, priority_queue_order:1","inferred-generic_concept:35, inferred-stack_state_trace:26, inferred-queue_state_trace:8, inferred-sorting_trace:4, inferred-bfs_adjacency_queue:3, inferred-complexity_bound_reasoning:2, inferred-binary_search_boundary:1, inferred-priority_queue_order:1","short_trace:48, concept_choice:11, loop_count:10, final_value:7, complexity:4","stack:26, tree:22, queue:11, vector:11, graph:6, priority_queue:3"
CSP-J|single_choice|hard|BAS,80,"generic_concept:64, stack_state_trace:7, final_scalar_value:4, queue_state_trace:2, binary_search_boundary:1, complexity_bound_reasoning:1, sorting_trace:1","inferred-generic_concept:64, inferred-stack_state_trace:7, inferred-final_scalar_value:4, inferred-queue_state_trace:2, inferred-binary_search_boundary:1, inferred-complexity_bound_reasoning:1, inferred-sorting_trace:1","short_trace:40, final_value:28, concept_choice:10, complexity:2","stack:7, tree:5, vector:5, graph:2, priority_queue:2, queue:2"
CSP-J|single_choice|medium|DS,80,"generic_concept:35, stack_state_trace:16, queue_state_trace:10, sorting_trace:7, complexity_bound_reasoning:4, bfs_adjacency_queue:2, priority_queue_order:2, binary_search_boundary:1, final_scalar_value:1, loop_iteration_count:1","inferred-generic_concept:35, inferred-stack_state_trace:16, inferred-queue_state_trace:10, inferred-sorting_trace:7, inferred-complexity_bound_reasoning:4, inferred-bfs_adjacency_queue:2, inferred-priority_queue_order:2, inferred-binary_search_boundary:1, inferred-final_scalar_value:1, inferred-loop_iteration_count:1","short_trace:47, final_value:11, concept_choice:9, complexity:8, loop_count:5","tree:23, stack:16, vector:16, queue:13, graph:4, priority_queue:3, union_find:2, deque:1, set:1"
GESP-1|completion_program|medium|CPP,80,"blank_completion:78, sorting_trace:2","inferred-blank_completion:78, inferred-sorting_trace:2",blank_completion:80,vector:10
GESP-8|single_choice|easy|MATH,79,"generic_concept:73, final_scalar_value:2, binary_search_boundary:1, queue_state_trace:1, sorting_trace:1, stack_state_trace:1","inferred-generic_concept:73, inferred-final_scalar_value:2, inferred-binary_search_boundary:1, inferred-queue_state_trace:1, inferred-sorting_trace:1, inferred-stack_state_trace:1","short_trace:63, final_value:14, concept_choice:1, loop_count:1","vector:3, tree:2, queue:1, stack:1"
GESP-2|completion_program|medium|CPP,78,"blank_completion:77, stack_state_trace:1","inferred-blank_completion:77, inferred-stack_state_trace:1",blank_completion:78,"vector:12, graph:1, stack:1"
GESP-1|single_choice|medium|CS,77,"generic_concept:61, stack_state_trace:5, complexity_bound_reasoning:4, binary_search_boundary:2, queue_state_trace:2, sorting_trace:2, loop_iteration_count:1","inferred-generic_concept:61, inferred-stack_state_trace:5, inferred-complexity_bound_reasoning:4, inferred-binary_search_boundary:2, inferred-queue_state_trace:2, inferred-sorting_trace:2, inferred-loop_iteration_count:1","short_trace:34, final_value:24, concept_choice:10, complexity:6, loop_count:3","vector:7, stack:5, queue:4, tree:4"
GESP-8|single_choice|easy|CPP,75,"generic_concept:68, final_scalar_value:4, loop_iteration_count:1, set_order_unique:1, sorting_trace:1","inferred-generic_concept:68, inferred-final_scalar_value:4, inferred-loop_iteration_count:1, inferred-set_order_unique:1, inferred-sorting_trace:1","final_value:43, short_trace:25, concept_choice:6, loop_count:1","vector:9, set:1"
CSP-J|reading_program|medium|ALG,74,"loop_iteration_count:16, complexity_bound_reasoning:14, generic_concept:14, final_scalar_value:13, sorting_trace:10, binary_search_boundary:2, dp_state_transition:2, stack_state_trace:2, prefix_sum_query:1","inferred-loop_iteration_count:16, inferred-complexity_bound_reasoning:14, inferred-generic_concept:14, inferred-final_scalar_value:13, inferred-sorting_trace:10, inferred-binary_search_boundary:2, inferred-dp_state_transition:2, inferred-stack_state_trace:2, inferred-prefix_sum_query:1",program_trace:74,"vector:51, stack:2, graph:1, union_find:1"
GESP-7|completion_program|hard|DS,74,"stack_state_trace:43, queue_state_trace:27, blank_completion:2, bfs_adjacency_queue:1, sorting_trace:1","inferred-stack_state_trace:43, inferred-queue_state_trace:27, inferred-blank_completion:2, inferred-bfs_adjacency_queue:1, inferred-sorting_trace:1",blank_completion:74,"stack:43, queue:33, vector:17, union_find:6, tree:2, deque:1, graph:1"
CSP-S|reading_program|medium|DS,73,"stack_state_trace:56, priority_queue_order:11, queue_state_trace:3, sorting_trace:2, generic_concept:1","inferred-stack_state_trace:56, inferred-priority_queue_order:11, inferred-queue_state_trace:3, inferred-sorting_trace:2, inferred-generic_concept:1",program_trace:73,"stack:56, vector:28, queue:24, priority_queue:12, deque:3, set:1, union_find:1"
CSP-S|single_choice|easy|ALG,71,"generic_concept:37, sorting_trace:16, binary_search_boundary:6, priority_queue_order:4, stack_state_trace:3, complexity_bound_reasoning:2, loop_iteration_count:1, queue_state_trace:1, set_order_unique:1","inferred-generic_concept:37, inferred-sorting_trace:16, inferred-binary_search_boundary:6, inferred-priority_queue_order:4, inferred-stack_state_trace:3, inferred-complexity_bound_reasoning:2, inferred-loop_iteration_count:1, inferred-queue_state_trace:1, inferred-set_order_unique:1","short_trace:40, final_value:19, complexity:9, loop_count:3","vector:14, tree:7, priority_queue:6, stack:5, graph:4, queue:4, set:1"
GESP-7|reading_program|hard|DS,71,"stack_state_trace:58, queue_state_trace:9, priority_queue_order:4","inferred-stack_state_trace:58, inferred-queue_state_trace:9, inferred-priority_queue_order:4",program_trace:71,"stack:59, queue:24, vector:7, union_find:5, priority_queue:4, deque:3"
GESP-7|reading_program|medium|DS,70,"stack_state_trace:66, complexity_bound_reasoning:2, queue_state_trace:2","inferred-stack_state_trace:66, inferred-complexity_bound_reasoning:2, inferred-queue_state_trace:2",program_trace:70,"stack:66, queue:10, vector:6, union_find:4"
CSP-S|single_choice|hard|MATH,65,"generic_concept:48, final_scalar_value:4, complexity_bound_reasoning:3, set_order_unique:3, sorting_trace:3, binary_search_boundary:2, queue_state_trace:1, stack_state_trace:1","inferred-generic_concept:48, inferred-final_scalar_value:4, inferred-complexity_bound_reasoning:3, inferred-set_order_unique:3, inferred-sorting_trace:3, inferred-binary_search_boundary:2, inferred-queue_state_trace:1, inferred-stack_state_trace:1","short_trace:43, final_value:16, complexity:5, concept_choice:1","tree:4, set:3, vector:3, graph:2, queue:1, stack:1"
GESP-7|completion_program|medium|DS,65,"stack_state_trace:52, queue_state_trace:13","inferred-stack_state_trace:52, inferred-queue_state_trace:13",blank_completion:65,"stack:52, queue:19, vector:12, union_find:2"
GESP-8|completion_program|hard|ALG,65,"blank_completion:21, binary_search_boundary:9, dp_state_transition:9, sorting_trace:8, complexity_bound_reasoning:4, stack_state_trace:4, map_count_lookup:3, queue_state_trace:3, bfs_adjacency_queue:1, prefix_sum_query:1","inferred-blank_completion:21, inferred-binary_search_boundary:9, inferred-dp_state_transition:9, inferred-sorting_trace:8, inferred-complexity_bound_reasoning:4, inferred-stack_state_trace:4, inferred-map_count_lookup:3, inferred-queue_state_trace:3, inferred-bfs_adjacency_queue:1, inferred-prefix_sum_query:1",blank_completion:65,"vector:56, graph:8, union_find:5, queue:4, stack:4, map:3, tree:2, deque:1, priority_queue:1, set:1"
GESP-1|single_choice|hard|CPP,63,"generic_concept:58, final_scalar_value:4, loop_iteration_count:1","inferred-generic_concept:58, inferred-final_scalar_value:4, inferred-loop_iteration_count:1","final_value:40, short_trace:17, concept_choice:5, loop_count:1",vector:1
CSP-J|reading_program|medium|DS,62,"stack_state_trace:56, priority_queue_order:3, queue_state_trace:3","inferred-stack_state_trace:56, inferred-priority_queue_order:3, inferred-queue_state_trace:3",program_trace:62,"stack:56, queue:21, vector:15, priority_queue:3, deque:1"
CSP-J|single_choice|hard|CPP,62,"generic_concept:57, final_scalar_value:4, complexity_bound_reasoning:1","inferred-generic_concept:57, inferred-final_scalar_value:4, inferred-complexity_bound_reasoning:1","final_value:35, short_trace:22, concept_choice:4, complexity:1","vector:3, tree:1"
CSP-S|single_choice|easy|DS,62,"generic_concept:27, stack_state_trace:12, sorting_trace:9, queue_state_trace:8, complexity_bound_reasoning:4, bfs_adjacency_queue:1, final_scalar_value:1","inferred-generic_concept:27, inferred-stack_state_trace:12, inferred-sorting_trace:9, inferred-queue_state_trace:8, inferred-complexity_bound_reasoning:4, inferred-bfs_adjacency_queue:1, inferred-final_scalar_value:1","short_trace:42, final_value:9, complexity:5, concept_choice:4, loop_count:2","tree:15, stack:12, queue:10, vector:10, graph:7, priority_queue:5"
GESP-2|single_choice|hard|CPP,62,"generic_concept:58, final_scalar_value:2, complexity_bound_reasoning:1, stack_state_trace:1","inferred-generic_concept:58, inferred-final_scalar_value:2, inferred-complexity_bound_reasoning:1, inferred-stack_state_trace:1","final_value:39, short_trace:15, concept_choice:7, complexity:1","vector:4, graph:1, stack:1"
CSP-J|single_choice|hard|ALG,60,"generic_concept:29, sorting_trace:13, final_scalar_value:4, stack_state_trace:4, binary_search_boundary:3, complexity_bound_reasoning:3, queue_state_trace:2, dp_state_transition:1, set_order_unique:1","inferred-generic_concept:29, inferred-sorting_trace:13, inferred-final_scalar_value:4, inferred-stack_state_trace:4, inferred-binary_search_boundary:3, inferred-complexity_bound_reasoning:3, inferred-queue_state_trace:2, inferred-dp_state_transition:1, inferred-set_order_unique:1","short_trace:28, final_value:12, complexity:10, loop_count:6, concept_choice:4","vector:13, graph:6, tree:6, stack:4, queue:3, priority_queue:1, set:1, union_find:1"
CSP-S|single_choice|easy|CPP,60,"generic_concept:52, final_scalar_value:6, complexity_bound_reasoning:1, loop_iteration_count:1","inferred-generic_concept:52, inferred-final_scalar_value:6, inferred-complexity_bound_reasoning:1, inferred-loop_iteration_count:1","final_value:40, short_trace:13, concept_choice:5, complexity:1, loop_count:1",vector:3
GESP-7|single_choice|easy|MATH,59,"generic_concept:40, final_scalar_value:16, prefix_sum_query:2, stack_state_trace:1","inferred-generic_concept:40, inferred-final_scalar_value:16, inferred-prefix_sum_query:2, inferred-stack_state_trace:1","short_trace:30, final_value:29","tree:2, stack:1, vector:1"
GESP-8|completion_program|hard|MATH,57,"blank_completion:54, dp_state_transition:2, complexity_bound_reasoning:1","inferred-blank_completion:54, inferred-dp_state_transition:2, inferred-complexity_bound_reasoning:1",blank_completion:57,vector:10
GESP-8|completion_program|medium|MATH,57,"blank_completion:56, prefix_sum_query:1","inferred-blank_completion:56, inferred-prefix_sum_query:1",blank_completion:57,vector:5
GESP-8|reading_program|medium|DS,56,"stack_state_trace:43, queue_state_trace:8, priority_queue_order:4, generic_concept:1","inferred-stack_state_trace:43, inferred-queue_state_trace:8, inferred-priority_queue_order:4, inferred-generic_concept:1",program_trace:56,"stack:44, queue:18, vector:14, priority_queue:4, deque:2"
GESP-1|reading_program|hard|CPP,55,"final_scalar_value:15, generic_concept:13, sorting_trace:12, loop_iteration_count:11, stack_state_trace:3, complexity_bound_reasoning:1","inferred-final_scalar_value:15, inferred-generic_concept:13, inferred-sorting_trace:12, inferred-loop_iteration_count:11, inferred-stack_state_trace:3, inferred-complexity_bound_reasoning:1",program_trace:55,"vector:39, stack:3, graph:1, union_find:1"
GESP-7|completion_program|medium|ALG,54,"blank_completion:26, prefix_sum_query:22, sorting_trace:3, dp_state_transition:2, binary_search_boundary:1","inferred-blank_completion:26, inferred-prefix_sum_query:22, inferred-sorting_trace:3, inferred-dp_state_transition:2, inferred-binary_search_boundary:1",blank_completion:54,vector:31
CSP-J|reading_program|medium|CPP,50,"generic_concept:17, final_scalar_value:15, complexity_bound_reasoning:7, loop_iteration_count:7, sorting_trace:3, stack_state_trace:1","inferred-generic_concept:17, inferred-final_scalar_value:15, inferred-complexity_bound_reasoning:7, inferred-loop_iteration_count:7, inferred-sorting_trace:3, inferred-stack_state_trace:1",program_trace:50,"vector:15, stack:1"
CSP-S|completion_program|hard|DS,50,"stack_state_trace:31, queue_state_trace:7, blank_completion:5, priority_queue_order:4, complexity_bound_reasoning:1, map_count_lookup:1, sorting_trace:1","inferred-stack_state_trace:31, inferred-queue_state_trace:7, inferred-blank_completion:5, inferred-priority_queue_order:4, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-sorting_trace:1",blank_completion:50,"stack:31, vector:28, queue:13, deque:5, priority_queue:5, tree:3, graph:1, map:1"
GESP-1|single_choice|hard|BAS,50,"generic_concept:45, complexity_bound_reasoning:2, stack_state_trace:2, final_scalar_value:1","inferred-generic_concept:45, inferred-complexity_bound_reasoning:2, inferred-stack_state_trace:2, inferred-final_scalar_value:1","short_trace:25, final_value:15, concept_choice:8, complexity:2","stack:2, tree:2"
GESP-2|reading_program|hard|CPP,50,"final_scalar_value:14, generic_concept:13, loop_iteration_count:7, sorting_trace:7, stack_state_trace:4, complexity_bound_reasoning:3, binary_search_boundary:1, dp_state_transition:1","inferred-final_scalar_value:14, inferred-generic_concept:13, inferred-loop_iteration_count:7, inferred-sorting_trace:7, inferred-stack_state_trace:4, inferred-complexity_bound_reasoning:3, inferred-binary_search_boundary:1, inferred-dp_state_transition:1",program_trace:50,"vector:34, stack:4, union_find:4, queue:1"
CSP-J|completion_program|medium|DS,49,"stack_state_trace:37, queue_state_trace:8, blank_completion:2, binary_search_boundary:1, sorting_trace:1","inferred-stack_state_trace:37, inferred-queue_state_trace:8, inferred-blank_completion:2, inferred-binary_search_boundary:1, inferred-sorting_trace:1",blank_completion:49,"stack:37, vector:18, queue:13, tree:1"
CSP-S|completion_program|hard|ALG,49,"blank_completion:23, binary_search_boundary:7, bfs_adjacency_queue:6, sorting_trace:6, complexity_bound_reasoning:2, map_count_lookup:2, dp_state_transition:1, prefix_sum_query:1, priority_queue_order:1","inferred-blank_completion:23, inferred-binary_search_boundary:7, inferred-bfs_adjacency_queue:6, inferred-sorting_trace:6, inferred-complexity_bound_reasoning:2, inferred-map_count_lookup:2, inferred-dp_state_transition:1, inferred-prefix_sum_query:1, inferred-priority_queue_order:1",blank_completion:49,"vector:43, graph:11, queue:4, tree:4, union_find:3, map:2, priority_queue:1, set:1"
GESP-7|completion_program|hard|ALG,49,"blank_completion:23, prefix_sum_query:18, binary_search_boundary:2, sorting_trace:2, stack_state_trace:2, dp_state_transition:1, queue_state_trace:1","inferred-blank_completion:23, inferred-prefix_sum_query:18, inferred-binary_search_boundary:2, inferred-sorting_trace:2, inferred-stack_state_trace:2, inferred-dp_state_transition:1, inferred-queue_state_trace:1",blank_completion:49,"vector:26, stack:2, deque:1, queue:1"
CSP-J|reading_program|hard|DS,45,"stack_state_trace:35, priority_queue_order:6, queue_state_trace:3, deque_two_end_trace:1","inferred-stack_state_trace:35, inferred-priority_queue_order:6, inferred-queue_state_trace:3, inferred-deque_two_end_trace:1",program_trace:45,"stack:35, queue:19, vector:9, priority_queue:6, deque:5"
GESP-5|single_choice|easy|ALG,44,"binary_search_boundary:15, generic_concept:12, sorting_trace:10, stack_state_trace:3, dp_state_transition:2, complexity_bound_reasoning:1, loop_iteration_count:1","inferred-binary_search_boundary:15, inferred-generic_concept:12, inferred-sorting_trace:10, inferred-stack_state_trace:3, inferred-dp_state_transition:2, inferred-complexity_bound_reasoning:1, inferred-loop_iteration_count:1","short_trace:14, loop_count:12, complexity:8, final_value:8, concept_choice:2","vector:21, stack:3, tree:2, graph:1, priority_queue:1"
GESP-8|reading_program|hard|DS,44,"stack_state_trace:31, priority_queue_order:6, queue_state_trace:5, deque_two_end_trace:2","inferred-stack_state_trace:31, inferred-priority_queue_order:6, inferred-queue_state_trace:5, inferred-deque_two_end_trace:2",program_trace:44,"stack:31, queue:23, vector:16, deque:9, priority_queue:6, set:1"
GESP-8|completion_program|medium|ALG,42,"blank_completion:20, sorting_trace:7, binary_search_boundary:6, prefix_sum_query:6, dp_state_transition:1, queue_state_trace:1, stack_state_trace:1","inferred-blank_completion:20, inferred-sorting_trace:7, inferred-binary_search_boundary:6, inferred-prefix_sum_query:6, inferred-dp_state_transition:1, inferred-queue_state_trace:1, inferred-stack_state_trace:1",blank_completion:42,"vector:28, deque:1, queue:1, stack:1"
CSP-J|reading_program|hard|CPP,41,"final_scalar_value:12, sorting_trace:9, loop_iteration_count:8, generic_concept:6, stack_state_trace:3, complexity_bound_reasoning:1, queue_state_trace:1, set_order_unique:1","inferred-final_scalar_value:12, inferred-sorting_trace:9, inferred-loop_iteration_count:8, inferred-generic_concept:6, inferred-stack_state_trace:3, inferred-complexity_bound_reasoning:1, inferred-queue_state_trace:1, inferred-set_order_unique:1",program_trace:41,"vector:28, stack:3, union_find:2, priority_queue:1, queue:1"
CSP-S|single_choice|medium|BAS,41,"generic_concept:32, stack_state_trace:5, sorting_trace:2, binary_search_boundary:1, final_scalar_value:1","inferred-generic_concept:32, inferred-stack_state_trace:5, inferred-sorting_trace:2, inferred-binary_search_boundary:1, inferred-final_scalar_value:1","short_trace:24, final_value:8, concept_choice:6, complexity:3","stack:5, tree:3, vector:2, priority_queue:1"
CSP-S|single_choice|medium|CS,41,"generic_concept:34, sorting_trace:3, stack_state_trace:2, final_scalar_value:1, queue_state_trace:1","inferred-generic_concept:34, inferred-sorting_trace:3, inferred-stack_state_trace:2, inferred-final_scalar_value:1, inferred-queue_state_trace:1","short_trace:23, final_value:13, concept_choice:4, complexity:1","tree:5, stack:2, graph:1, priority_queue:1, queue:1, vector:1"
CSP-J|single_choice|easy|MATH,40,"generic_concept:33, final_scalar_value:3, stack_state_trace:2, set_order_unique:1, sorting_trace:1","inferred-generic_concept:33, inferred-final_scalar_value:3, inferred-stack_state_trace:2, inferred-set_order_unique:1, inferred-sorting_trace:1","short_trace:33, final_value:7","tree:3, stack:2, set:1"
CSP-J|single_choice|hard|DS,40,"generic_concept:18, stack_state_trace:7, complexity_bound_reasoning:3, bfs_adjacency_queue:2, binary_search_boundary:2, priority_queue_order:2, queue_state_trace:2, set_order_unique:2, loop_iteration_count:1, sorting_trace:1","inferred-generic_concept:18, inferred-stack_state_trace:7, inferred-complexity_bound_reasoning:3, inferred-bfs_adjacency_queue:2, inferred-binary_search_boundary:2, inferred-priority_queue_order:2, inferred-queue_state_trace:2, inferred-set_order_unique:2, inferred-loop_iteration_count:1, inferred-sorting_trace:1","short_trace:27, final_value:5, complexity:4, concept_choice:3, loop_count:1","tree:12, stack:8, vector:7, priority_queue:6, graph:4, queue:3, set:2"
CSP-S|reading_program|hard|DS,40,"stack_state_trace:28, queue_state_trace:6, deque_two_end_trace:3, priority_queue_order:3","inferred-stack_state_trace:28, inferred-queue_state_trace:6, inferred-deque_two_end_trace:3, inferred-priority_queue_order:3",program_trace:40,"stack:29, queue:18, vector:10, deque:9, priority_queue:3"
GESP-2|completion_program|easy|CPP,40,"blank_completion:39, sorting_trace:1","inferred-blank_completion:39, inferred-sorting_trace:1",blank_completion:40,vector:2
GESP-2|single_choice|hard|BAS,40,"generic_concept:33, stack_state_trace:3, complexity_bound_reasoning:2, final_scalar_value:1, queue_state_trace:1","inferred-generic_concept:33, inferred-stack_state_trace:3, inferred-complexity_bound_reasoning:2, inferred-final_scalar_value:1, inferred-queue_state_trace:1","short_trace:19, final_value:13, concept_choice:6, complexity:1, loop_count:1","stack:3, queue:2, vector:2"
CSP-J|single_choice|medium|MATH,38,"generic_concept:31, complexity_bound_reasoning:2, final_scalar_value:2, binary_search_boundary:1, set_order_unique:1, stack_state_trace:1","inferred-generic_concept:31, inferred-complexity_bound_reasoning:2, inferred-final_scalar_value:2, inferred-binary_search_boundary:1, inferred-set_order_unique:1, inferred-stack_state_trace:1","short_trace:25, final_value:7, concept_choice:4, complexity:1, loop_count:1","tree:4, priority_queue:1, set:1, stack:1, vector:1"
CSP-S|completion_program|medium|ALG,37,"blank_completion:23, dp_state_transition:4, binary_search_boundary:3, sorting_trace:2, stack_state_trace:2, complexity_bound_reasoning:1, map_count_lookup:1, prefix_sum_query:1","inferred-blank_completion:23, inferred-dp_state_transition:4, inferred-binary_search_boundary:3, inferred-sorting_trace:2, inferred-stack_state_trace:2, inferred-complexity_bound_reasoning:1, inferred-map_count_lookup:1, inferred-prefix_sum_query:1",blank_completion:37,"vector:22, graph:3, stack:2, map:1, union_find:1"
GESP-1|completion_program|easy|CPP,37,blank_completion:37,inferred-blank_completion:37,blank_completion:37,graph:1
CSP-J|completion_program|medium|ALG,36,"blank_completion:29, sorting_trace:3, binary_search_boundary:2, prefix_sum_query:1, stack_state_trace:1","inferred-blank_completion:29, inferred-sorting_trace:3, inferred-binary_search_boundary:2, inferred-prefix_sum_query:1, inferred-stack_state_trace:1",blank_completion:36,"vector:16, stack:1"
CSP-J|reading_program|hard|ALG,35,"complexity_bound_reasoning:8, generic_concept:7, dp_state_transition:5, final_scalar_value:4, sorting_trace:4, stack_state_trace:3, binary_search_boundary:1, loop_iteration_count:1, prefix_sum_query:1, priority_queue_order:1","inferred-complexity_bound_reasoning:8, inferred-generic_concept:7, inferred-dp_state_transition:5, inferred-final_scalar_value:4, inferred-sorting_trace:4, inferred-stack_state_trace:3, inferred-binary_search_boundary:1, inferred-loop_iteration_count:1, inferred-prefix_sum_query:1, inferred-priority_queue_order:1",program_trace:35,"vector:22, stack:3, queue:2, priority_queue:1, tree:1, union_find:1"
GESP-1|completion_program|hard|CPP,35,"blank_completion:27, stack_state_trace:4, dp_state_transition:2, complexity_bound_reasoning:1, sorting_trace:1","inferred-blank_completion:27, inferred-stack_state_trace:4, inferred-dp_state_transition:2, inferred-complexity_bound_reasoning:1, inferred-sorting_trace:1",blank_completion:35,"vector:9, stack:4, graph:2"
GESP-8|reading_program|easy|ALG,35,"loop_iteration_count:14, generic_concept:9, complexity_bound_reasoning:4, final_scalar_value:4, sorting_trace:2, prefix_sum_query:1, set_order_unique:1","inferred-loop_iteration_count:14, inferred-generic_concept:9, inferred-complexity_bound_reasoning:4, inferred-final_scalar_value:4, inferred-sorting_trace:2, inferred-prefix_sum_query:1, inferred-set_order_unique:1",program_trace:35,vector:14
CSP-J|completion_program|hard|ALG,34,"blank_completion:17, sorting_trace:6, dp_state_transition:5, binary_search_boundary:3, prefix_sum_query:2, bfs_adjacency_queue:1","inferred-blank_completion:17, inferred-sorting_trace:6, inferred-dp_state_transition:5, inferred-binary_search_boundary:3, inferred-prefix_sum_query:2, inferred-bfs_adjacency_queue:1",blank_completion:34,"vector:26, graph:4, priority_queue:1, queue:1, union_find:1"
GESP-2|completion_program|hard|CPP,34,"blank_completion:29, stack_state_trace:3, binary_search_boundary:1, map_count_lookup:1","inferred-blank_completion:29, inferred-stack_state_trace:3, inferred-binary_search_boundary:1, inferred-map_count_lookup:1",blank_completion:34,"vector:9, stack:3, graph:1, map:1, union_find:1"
CSP-J|completion_program|hard|DS,33,"stack_state_trace:19, queue_state_trace:7, blank_completion:2, priority_queue_order:2, bfs_adjacency_queue:1, prefix_sum_query:1, set_order_unique:1","inferred-stack_state_trace:19, inferred-queue_state_trace:7, inferred-blank_completion:2, inferred-priority_queue_order:2, inferred-bfs_adjacency_queue:1, inferred-prefix_sum_query:1, inferred-set_order_unique:1",blank_completion:33,"stack:19, vector:16, queue:11, tree:6, deque:3, priority_queue:2, union_find:2, graph:1, set:1"
CSP-S|completion_program|medium|DS,32,"stack_state_trace:18, queue_state_trace:10, priority_queue_order:2, bfs_adjacency_queue:1, sorting_trace:1","inferred-stack_state_trace:18, inferred-queue_state_trace:10, inferred-priority_queue_order:2, inferred-bfs_adjacency_queue:1, inferred-sorting_trace:1",blank_completion:32,"stack:18, vector:13, queue:12, deque:3, priority_queue:2, graph:1, tree:1"
CSP-S|single_choice|easy|MATH,32,"generic_concept:26, sorting_trace:3, binary_search_boundary:2, final_scalar_value:1","inferred-generic_concept:26, inferred-sorting_trace:3, inferred-binary_search_boundary:2, inferred-final_scalar_value:1","short_trace:21, final_value:7, complexity:2, concept_choice:1, loop_count:1","vector:3, graph:2, tree:2"
CSP-J|single_choice|easy|CS,31,"generic_concept:27, sorting_trace:2, stack_state_trace:2","inferred-generic_concept:27, inferred-sorting_trace:2, inferred-stack_state_trace:2","short_trace:20, final_value:5, concept_choice:4, complexity:2","queue:2, stack:2, tree:2, vector:1"
CSP-J|single_choice|medium|CS,31,"generic_concept:25, stack_state_trace:3, binary_search_boundary:1, queue_state_trace:1, sorting_trace:1","inferred-generic_concept:25, inferred-stack_state_trace:3, inferred-binary_search_boundary:1, inferred-queue_state_trace:1, inferred-sorting_trace:1","short_trace:20, final_value:7, complexity:2, concept_choice:2","queue:3, stack:3, vector:2, priority_queue:1, tree:1"
